Original File,Destination File,Bank Type,Status,Processed,Verified
statement_4116465932_2024-06-28 (1).pdf,PNC\2024-06\ARCTARIS MICHIGAN MANAGEMENT statement_4116465932_2024-06-28 (1).pdf,PNC,Processed,,
statement_4116465932_2024-07-31.pdf,PNC\2024-07\ARCTARIS MICHIGAN MANAGEMENT statement_4116465932_2024-07-31.pdf,PNC,Would process,,
statement_4116465932_2024-07-31.pdf,PNC\2024-07\ARCTARIS MICHIGAN MANAGEMENT statement_4116465932_2024-07-31.pdf,PNC,Processed,,
statement_4116465932_2024-08-30.pdf,PNC\2024-08\ARCTARIS MICHIGAN MANAGEMENT statement_4116465932_2024-08-30.pdf,PNC,Would process,,
statement_4116465932_2024-08-30.pdf,PNC\2024-08\ARCTARIS MICHIGAN MANAGEMENT statement_4116465932_2024-08-30.pdf,PNC,Processed,,
statement_4116465932_2024-09-30.pdf,PNC\2024-09\ARCTARIS MICHIGAN MANAGEMENT statement_4116465932_2024-09-30.pdf,PNC,Would process,,
statement_4116465932_2024-09-30.pdf,PNC\2024-09\ARCTARIS MICHIGAN MANAGEMENT statement_4116465932_2024-09-30.pdf,PNC,Processed,,
statement_4116465932_2024-10-31.pdf,PNC\2024-10\ARCTARIS MICHIGAN MANAGEMENT statement_4116465932_2024-10-31.pdf,PNC,Would process,,
statement_4116465932_2024-10-31.pdf,PNC\2024-10\ARCTARIS MICHIGAN MANAGEMENT statement_4116465932_2024-10-31.pdf,PNC,Processed,,
statement_4116465932_2024-11-29.pdf,PNC\2024-11\ARCTARIS MICHIGAN MANAGEMENT statement_4116465932_2024-11-29.pdf,PNC,Would process,,
statement_4116465932_2024-11-29.pdf,PNC\2024-11\ARCTARIS MICHIGAN MANAGEMENT statement_4116465932_2024-11-29.pdf,PNC,Processed,,
statement_4116465932_2024-12-31.pdf,PNC\2024-12\ARCTARIS MICHIGAN MANAGEMENT statement_4116465932_2024-12-31.pdf,PNC,Would process,,
statement_4116465932_2024-12-31.pdf,PNC\2024-12\ARCTARIS MICHIGAN MANAGEMENT statement_4116465932_2024-12-31.pdf,PNC,Processed,,
statement_4116465932_2025-01-31.pdf,PNC\2025-01\ARCTARIS MICHIGAN MANAGEMENT statement_4116465932_2025-01-31.pdf,PNC,Would process,,
statement_4116465932_2025-01-31.pdf,PNC\2025-01\ARCTARIS MICHIGAN MANAGEMENT statement_4116465932_2025-01-31.pdf,PNC,Processed,,
statement_4116465932_2025-02-28.pdf,PNC\2025-02\ARCTARIS MICHIGAN MANAGEMENT statement_4116465932_2025-02-28.pdf,PNC,Would process,,
statement_4116465932_2025-02-28.pdf,PNC\2025-02\ARCTARIS MICHIGAN MANAGEMENT statement_4116465932_2025-02-28.pdf,PNC,Processed,,
statement_4116465932_2025-03-31.pdf,PNC\2025-03\ARCTARIS MICHIGAN MANAGEMENT statement_4116465932_2025-03-31.pdf,PNC,Would process,,
statement_4116465932_2025-03-31.pdf,PNC\2025-03\ARCTARIS MICHIGAN MANAGEMENT statement_4116465932_2025-03-31.pdf,PNC,Processed,,
statement_4116465959_2018-04-30.pdf,PNC\2018-04\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2018-04-30.pdf,PNC,Would process,,
statement_4116465959_2018-04-30.pdf,PNC\2018-04\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2018-04-30.pdf,PNC,Processed,,
statement_4116465959_2018-05-31.pdf,PNC\2018-05\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2018-05-31.pdf,PNC,Would process,,
statement_4116465959_2018-05-31.pdf,PNC\2018-05\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2018-05-31.pdf,PNC,Processed,,
statement_4116465959_2018-06-29.pdf,PNC\2018-06\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2018-06-29.pdf,PNC,Would process,,
statement_4116465959_2018-06-29.pdf,PNC\2018-06\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2018-06-29.pdf,PNC,Processed,,
statement_4116465959_2018-07-31.pdf,PNC\2018-07\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2018-07-31.pdf,PNC,Would process,,
statement_4116465959_2018-07-31.pdf,PNC\2018-07\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2018-07-31.pdf,PNC,Processed,,
statement_4116465959_2018-08-31.pdf,PNC\2018-08\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2018-08-31.pdf,PNC,Would process,,
statement_4116465959_2018-08-31.pdf,PNC\2018-08\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2018-08-31.pdf,PNC,Processed,,
statement_4116465959_2018-09-28.pdf,PNC\2018-09\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2018-09-28.pdf,PNC,Would process,,
statement_4116465959_2018-09-28.pdf,PNC\2018-09\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2018-09-28.pdf,PNC,Processed,,
statement_4116465959_2018-10-31.pdf,PNC\2018-10\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2018-10-31.pdf,PNC,Would process,,
statement_4116465959_2018-10-31.pdf,PNC\2018-10\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2018-10-31.pdf,PNC,Processed,,
statement_4116465959_2018-11-30.pdf,PNC\2018-11\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2018-11-30.pdf,PNC,Would process,,
statement_4116465959_2018-11-30.pdf,PNC\2018-11\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2018-11-30.pdf,PNC,Processed,,
statement_4116465959_2018-12-31.pdf,PNC\2018-12\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2018-12-31.pdf,PNC,Would process,,
statement_4116465959_2018-12-31.pdf,PNC\2018-12\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2018-12-31.pdf,PNC,Processed,,
statement_4116465959_2019-01-31.pdf,PNC\2019-01\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2019-01-31.pdf,PNC,Would process,,
statement_4116465959_2019-01-31.pdf,PNC\2019-01\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2019-01-31.pdf,PNC,Processed,,
statement_4116465959_2019-02-28.pdf,PNC\2019-02\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2019-02-28.pdf,PNC,Would process,,
statement_4116465959_2019-02-28.pdf,PNC\2019-02\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2019-02-28.pdf,PNC,Processed,,
statement_4116465959_2019-03-29.pdf,PNC\2019-03\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2019-03-29.pdf,PNC,Would process,,
statement_4116465959_2019-03-29.pdf,PNC\2019-03\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2019-03-29.pdf,PNC,Processed,,
statement_4116465959_2019-04-30.pdf,PNC\2019-04\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2019-04-30.pdf,PNC,Would process,,
statement_4116465959_2019-04-30.pdf,PNC\2019-04\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2019-04-30.pdf,PNC,Processed,,
statement_4116465959_2019-05-31.pdf,PNC\2019-05\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2019-05-31.pdf,PNC,Would process,,
statement_4116465959_2019-05-31.pdf,PNC\2019-05\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2019-05-31.pdf,PNC,Processed,,
statement_4116465959_2019-06-28.pdf,PNC\2019-06\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2019-06-28.pdf,PNC,Would process,,
statement_4116465959_2019-06-28.pdf,PNC\2019-06\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2019-06-28.pdf,PNC,Processed,,
statement_4116465959_2019-07-31.pdf,PNC\2019-07\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2019-07-31.pdf,PNC,Would process,,
statement_4116465959_2019-07-31.pdf,PNC\2019-07\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2019-07-31.pdf,PNC,Processed,,
statement_4116465959_2019-08-30.pdf,PNC\2019-08\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2019-08-30.pdf,PNC,Would process,,
statement_4116465959_2019-08-30.pdf,PNC\2019-08\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2019-08-30.pdf,PNC,Processed,,
statement_4116465959_2019-09-30.pdf,PNC\2019-09\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2019-09-30.pdf,PNC,Would process,,
statement_4116465959_2019-09-30.pdf,PNC\2019-09\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2019-09-30.pdf,PNC,Processed,,
statement_4116465959_2019-10-31.pdf,PNC\2019-10\ARCTARIS ROYALTY VENTURES CO-I statement_4116465959_2019-10-31.pdf,PNC,Would process,,
